City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,Landfill Capacity (Tons),Year,Landfill_Lat,Landfill_Long,Waste_Per_Capita_kg,Landfill_Utilization_Ratio,Cost_Per_Campaign
Mumbai,Plastic,6610,68,11191,9,Composting,3056,14,Mumbai Landfill,45575,2019,22.4265,77.4931,590.6532034670718,0.14503565551289083,218.28571428571428
Mumbai,Organic,1181,56,11191,5,Composting,2778,12,Mumbai Landfill,45575,2019,22.4265,77.4931,105.53123045304262,0.025913329676357653,231.5
Mumbai,E-Waste,8162,53,11191,8,Incineration,3390,13,Mumbai Landfill,45575,2019,22.4265,77.4931,729.336073630596,0.17908941305540318,260.7692307692308
Mumbai,Construction,8929,56,11191,5,Landfill,1498,14,Mumbai Landfill,45575,2019,22.4265,77.4931,797.8732910374408,0.19591881513987933,107.0
Mumbai,Hazardous,5032,44,11191,7,Recycling,2221,16,Mumbai Landfill,45575,2019,22.4265,77.4931,449.6470377982307,0.11041140976412507,138.8125
Mumbai,Plastic,7456,73,11191,9,Landfill,3195,6,Mumbai Landfill,45575,2020,22.4265,77.4931,666.2496649093022,0.16359846407021394,532.5
Mumbai,Organic,7118,37,11191,6,Composting,3686,14,Mumbai Landfill,45575,2020,22.4265,77.4931,636.0468233401841,0.15618211738891935,263.2857142857143
Mumbai,E-Waste,9189,57,11191,10,Landfill,1791,12,Mumbai Landfill,45575,2020,22.4265,77.4931,821.1062460906086,0.2016236972024136,149.25
Mumbai,Construction,8609,48,11191,8,Incineration,1681,20,Mumbai Landfill,45575,2020,22.4265,77.4931,769.2788848181574,0.1888974218321448,84.05
Mumbai,Hazardous,6632,71,11191,6,Incineration,2311,12,Mumbai Landfill,45575,2020,22.4265,77.4931,592.6190688946475,0.1455183763027976,192.58333333333334
