City/District,Waste Type,Waste Generated (Tons/Day),Recycling Rate (%),Population Density (People/km²),Municipal Efficiency Score (1-10),Disposal Method,Cost of Waste Management (₹/Ton),Awareness Campaigns Count,Landfill Name,Landfill Capacity (Tons),Year,Landfill_Lat,Landfill_Long,Waste_Per_Capita_kg,Landfill_Utilization_Ratio,Cost_Per_Campaign,Year_Category,Efficiency_PopDensity_Interaction,Campaign_Efficiency_Interaction,Log_Waste_Per_Capita_kg,Log_Landfill_Utilization_Ratio,Log_Cost_Per_Campaign,City_FreqEnc
Mumbai,Plastic,6610,68,11191,9,Composting,3056,14,Mumbai Landfill,45575,2019,22.4265,77.4931,590.6532034670718,0.1450356555128908,218.28571428571428,Before_2021,100719,126,6.382920658278974,0.13543577670728826,5.390375510965984,0.029411764705882353
Mumbai,Organic,1181,56,11191,5,Composting,2778,12,Mumbai Landfill,45575,2019,22.4265,77.4931,105.53123045304262,0.0259133296763576,231.5,Before_2021,55955,60,4.6684381858524935,0.025583269180797077,5.448890225027411,0.029411764705882353
Mumbai,E-Waste,8162,53,11191,8,Incineration,3390,13,Mumbai Landfill,45575,2019,22.4265,77.4931,729.336073630596,0.1790894130554031,260.7692307692308,Before_2021,89528,104,6.593504803038888,0.16474245672496995,5.567463317039369,0.029411764705882353
Mumbai,Construction,8929,56,11191,5,Landfill,1498,14,Mumbai Landfill,45575,2019,22.4265,77.4931,797.8732910374408,0.1959188151398793,107.0,Before_2021,55955,70,6.6832023487566925,0.1789147729066403,4.68213122712422,0.029411764705882353
Mumbai,Hazardous,5032,44,11191,7,Recycling,2221,16,Mumbai Landfill,45575,2019,22.4265,77.4931,449.6470377982307,0.110411409764125,138.8125,Before_2021,78337,112,6.1106844118048045,0.10473058608155723,4.940302239250348,0.029411764705882353
Mumbai,Plastic,7456,73,11191,9,Landfill,3195,6,Mumbai Landfill,45575,2020,22.4265,77.4931,666.2496649093022,0.1635984640702139,532.5,Before_2021,100719,54,6.503164286087883,0.151517327657129,6.279459070741808,0.029411764705882353
Mumbai,Organic,7118,37,11191,6,Composting,3686,14,Mumbai Landfill,45575,2020,22.4265,77.4931,636.0468233401841,0.1561821173889193,263.2857142857143,Before_2021,67146,84,6.456843158899274,0.14512329883578137,5.577030769017057,0.029411764705882353
Mumbai,E-Waste,9189,57,11191,10,Landfill,1791,12,Mumbai Landfill,45575,2020,22.4265,77.4931,821.1062460906086,0.2016236972024136,149.25,Before_2021,111910,120,6.711869639855303,0.18367372320678285,5.012300573415317,0.029411764705882353
Mumbai,Construction,8609,48,11191,8,Incineration,1681,20,Mumbai Landfill,45575,2020,22.4265,77.4931,769.2788848181574,0.1888974218321448,84.05,Before_2021,89528,160,6.646752637348991,0.17302634134787578,4.44323931884187,0.029411764705882353
Mumbai,Hazardous,6632,71,11191,6,Incineration,2311,12,Mumbai Landfill,45575,2020,22.4265,77.4931,592.6190688946475,0.1455183763027976,192.58333333333331,Before_2021,67146,72,6.386237815485866,0.13585726495017467,5.2657080829824086,0.029411764705882353
Mumbai,Plastic,6932,81,11191,10,Incineration,2543,16,Mumbai Landfill,45575,2021,22.4265,77.4931,619.4263247252256,0.1521009325287987,158.9375,2021_and_after,111910,160,6.43040686226102,0.1415871734780858,5.074783113920008,0.029411764705882353
Mumbai,Organic,4171,44,11191,9,Incineration,4756,14,Mumbai Landfill,45575,2021,22.4265,77.4931,372.7102135644715,0.0915194733955019,339.7142857142857,2021_and_after,100719,126,5.923480667037065,0.0875707377974099,5.831044254267129,0.029411764705882353
Mumbai,E-Waste,5095,30,11191,10,Composting,3586,2,Mumbai Landfill,45575,2021,22.4265,77.4931,455.2765615226521,0.1117937465715852,1793.0,2021_and_after,111910,20,6.1230991202381055,0.10597469892309157,7.492203042618741,0.029411764705882353
Mumbai,Construction,3514,77,11191,9,Incineration,3520,0,Mumbai Landfill,45575,2021,22.4265,77.4931,314.00232329550533,0.0771036752605595,266.9330357142857,2021_and_after,100719,0,5.7525800143397205,0.07427565655014144,5.590737082551223,0.029411764705882353
Mumbai,Hazardous,4505,54,11191,10,Composting,3655,4,Mumbai Landfill,45575,2021,22.4265,77.4931,402.55562505584845,0.0988480526604498,913.75,2021_and_after,111910,40,6.000314334604838,0.09426240622711633,6.818650803899316,0.029411764705882353
Mumbai,Plastic,2501,41,11191,9,Recycling,1194,4,Mumbai Landfill,45575,2022,22.4265,77.4931,223.48315610758647,0.0548765770707624,298.5,2021_and_after,100719,36,5.41380067589353,0.05342377152581559,5.702114417555504,0.029411764705882353
Mumbai,Organic,3348,79,11191,6,Incineration,2383,10,Mumbai Landfill,45575,2022,22.4265,77.4931,299.1689750692521,0.0734613274821722,238.3,2021_and_after,67146,60,5.704345566321169,0.07088831298557849,5.477717994914328,0.029411764705882353
Mumbai,E-Waste,6915,41,11191,9,Incineration,2324,1,Mumbai Landfill,45575,2022,22.4265,77.4931,617.9072468948262,0.1517279210093252,2324.0,2021_and_after,100719,9,6.427955417991395,0.1412633546994816,7.751475318021456,0.029411764705882353
